2,0,2,2,2,1,0,2,2,2,2,0,0,1,3,1,2,2,0,1,2,0,2,2,2,1,0,2,2,1,2,6,0,0,1,1,5,0,1,2,1,1,3,2,1,2,6,6,1,1,0,0,1,0,1,1,2,1,0,0,4,1,1,1,1,4,5,4,2,2,6,1,0,2,0,1,0,4,3,0,2
1,2,0,2,1,4,1,1,1,3,3,6,1,1,2,2,0,3,3,4,1,3,0,4,0,3,3,19,1,0,0,0,1,0,1,4,1,0,1,3,1,3,15,1,7,6,1,3,4,2,3,3,0,8,3,2,1,1,4,2,14,0,2,1,5,2,1,1,3,2,0,1,1,0,0,3,1,0,1,2,2
3,1,1,1,2,2,8,0,1,1,3,1,3,5,4,4,3,0,0,2,1,2,0,14,2,2,0,0,0,1,1,3,5,1,2,4,0,0,3,4,2,3,0,0,0,0,1,0,3,1,3,0,1,2,1,2,3,2,0,3,1,0,2,0,0,2,0,4,1,1,3,3,2,0,2,4,1,7,0,1,2
1,0,0,1,0,4,4,3,3,3,0,1,0,3,0,2,0,1,1,3,4,3,2,0,3,1,2,2,5,0,1,1,2,0,0,3,2,1,2,6,2,0,0,4,5,1,0,0,1,2,2,2,1,1,3,25,1,1,2,3,2,1,1,3,2,0,4,2,0,2,3,0,1,1,1,0,0,2,3,3,0
1,4,0,2,0,2,0,16,4,2,2,0,3,0,1,1,5,14,1,1,2,1,0,2,24,3,2,0,3,5,1,3,3,0,1,3,6,1,3,3,0,4,5,2,3,1,3,0,1,2,1,2,4,0,0,2,2,3,1,2,1,0,5,1,3,0,3,1,2,2,2,0,2,1,0,1,2,6,2,1,0
2,4,0,1,0,3,4,5,1,1,3,3,2,3,0,0,3,1,2,3,1,2,3,1,2,2,4,2,0,0,4,1,1,1,0,4,1,3,0,1,0,20,2,1,1,1,2,1,2,2,2,3,4,4,2,0,3,0,2,1,3,2,4,1,3,0,5,1,0,0,3,1,3,2,3,2,1,5,2,0,0
3,2,4,2,4,1,0,3,2,1,0,4,2,5,1,2,1,4,3,2,2,7,3,1,1,6,1,2,2,0,3,1,0,2,1,0,2,1,1,3,0,0,14,1,28,2,1,0,0,1,11,3,0,5,3,1,1,4,0,1,4,2,4,1,1,2,2,0,3,2,0,1,1,0,1,3,5,1,4,1,0
2,3,2,3,3,0,4,4,1,3,3,0,1,1,0,2,1,2,0,0,3,2,1,1,2,2,0,1,0,4,4,3,3,1,3,4,1,0,24,1,2,3,1,0,4,2,29,2,1,1,0,0,5,1,9,1,1,4,9,2,4,23,1,4,0,0,5,0,0,0,2,20,0,0,2,0,2,27,1,2,0
2,2,3,0,0,4,1,0,2,1,3,1,1,1,0,1,1,1,0,1,1,6,3,2,2,0,2,2,2,0,0,0,1,2,1,5,1,2,1,0,3,1,2,2,5,1,0,1,1,1,1,3,4,3,5,0,2,0,2,1,2,3,2,1,28,1,3,5,5,5,3,2,3,16,0,5,0,1,5,1,5
2,4,0,4,3,4,1,16,2,1,0,0,0,2,1,2,2,16,1,1,0,2,0,1,27,4,16,5,4,4,3,2,2,3,4,0,0,1,0,0,1,1,0,2,0,0,0,1,3,5,0,0,3,5,2,4,17,2,1,2,4,1,1,0,1,3,2,2,4,0,4,1,3,0,5,2,5,4,4,3,0
1,0,2,0,1,5,22,4,5,0,1,0,1,27,2,2,2,0,4,2,2,6,5,7,4,2,2,0,4,3,3,2,5,2,4,0,2,5,1,1,5,3,18,23,2,0,3,1,4,1,5,3,0,17,3,1,0,5,0,1,6,2,0,4,1,3,3,0,2,4,4,5,0,4,16,1,0,2,1,0,1
0,5,3,0,1,7,1,5,1,3,1,0,0,2,1,5,2,0,1,1,1,0,3,1,2,0,0,4,20,18,2,4,0,1,1,2,1,0,2,6,2,2,14,0,2,4,2,1,2,3,2,2,1,11,1,0,2,1,0,4,21,0,1,0,4,1,1,3,3,3,3,2,1,5,2,1,4,4,3,2,1
3,2,1,4,1,2,3,4,1,3,3,0,2,2,2,4,3,5,1,4,0,3,4,0,1,4,1,0,4,0,5,0,4,0,4,0,1,4,1,4,1,3,0,1,0,0,1,3,0,26,0,1,0,2,2,4,1,0,1,2,1,1,0,4,2,0,1,1,1,3,0,2,3,3,2,0,2,0,0,2,0
1,1,0,1,0,0,0,4,4,1,1,0,4,0,0,0,0,1,11,0,0,0,2,1,2,2,4,0,0,3,0,5,10,1,2,3,2,1,6,3,3,1,0,1,0,0,1,2,3,0,1,1,1,3,0,0,2,15,0,3,2,3,1,8,1,1,4,1,3,4,1,2,2,3,1,2,2,0,2,1,2
